Row Labels,Sum of Maternal Disorders,Sum of Meningitis,Sum of Alzheimer's Disease and Other Dementias,Sum of Parkinson's Disease,Sum of Nutritional Deficiencies,Sum of Malaria,Sum of Drowning,Sum of Interpersonal Violence,Sum of HIV/AIDS,Sum of Drug Use Disorders,Sum of Tuberculosis,Sum of Cardiovascular Diseases,Sum of Lower Respiratory Infections,Sum of Neonatal Disorders,Sum of Alcohol Use Disorders,Sum of Self-harm,Sum of Exposure to Forces of Nature,Sum of Diarrheal Diseases,Sum of Environmental Heat and Cold Exposure,Sum of Neoplasms,Sum of Conflict and Terrorism,Sum of Diabetes Mellitus,Sum of Chronic Kidney Disease,Sum of Poisonings,Sum of Protein-Energy Malnutrition,Sum of Road Injuries,Sum of Chronic Respiratory Diseases,Sum of Digestive Diseases,Sum of Cirrhosis and Other Chronic Liver Diseases,"Sum of Fire, Heat, and Hot Substances",Sum of Acute Hepatitis
Denmark,85,1746,65642,13120,2943,0,1267,2031,1493,5936,1279,579329,63979,4304,19898,27358,13,6968,426,505940,30,37380,24236,381,1308,14209,121567,83455,30387,2612,75
Djibouti,3510,3562,823,218,10246,1997,765,2264,20009,41,12608,20843,18660,20256,191,1357,198,14047,205,12025,693,3181,2229,468,10015,3367,2887,6626,4038,611,372
Dominica,30,39,586,156,88,0,129,211,191,9,117,7296,918,390,103,112,114,78,0,4758,1,1714,1034,51,73,402,609,753,327,60,1
Dominican Republic,6423,10923,34476,8007,17100,556,8181,44560,69145,667,23417,502583,58854,130457,3018,15690,1461,41343,279,205434,16,53725,42605,1298,16460,67010,40480,82139,58487,4366,991
Ecuador,8540,6070,49500,13047,29134,8010,18924,69274,20616,1278,36910,443431,147588,111655,12216,34405,2368,34512,309,346264,100,92543,124947,2357,26034,113397,71754,148698,79244,5630,616
Egypt,34917,39101,146785,49207,30709,0,33681,11933,2784,1366,35759,5995471,954868,504806,3349,70777,1572,498193,1735,1160639,7542,370494,445949,5649,26381,796157,543660,1583081,1422257,42655,56882
El Salvador,3236,2863,33957,5985,9761,34,7347,103286,16995,247,5070,222986,63650,40341,27028,15566,2468,26523,111,128602,2542,41716,74204,455,9725,41754,35418,62337,35406,1573,171
Equatorial Guinea,2354,2641,1079,272,3065,28215,795,1017,31440,57,11858,21631,15830,18016,151,1547,0,17376,96,10692,24,3884,2535,356,2956,6644,4232,5634,2923,430,255
Eritrea,25142,25311,3819,1202,61745,11951,4850,13945,71881,261,141081,134500,142415,101110,1226,12046,3,163153,1543,71735,43236,20247,13241,3733,59708,25804,26717,51659,32760,4098,3074
Estonia,62,400,14249,2990,161,0,3320,5077,696,2246,2217,280754,7613,1394,8353,11446,5,74,3762,110152,12,4273,5523,685,108,6864,9039,17962,8316,3900,21
Eswatini,1263,2988,1179,362,3896,795,1601,6018,154247,100,23660,37935,25060,17107,272,5601,12,19732,347,22999,4,14892,6336,684,3832,10616,9328,9281,5129,1507,263
Ethiopia,373719,605256,101811,24304,823168,453985,82079,198391,1788429,4363,1739099,1936154,2343265,2851757,17110,169113,2336,2514592,23032,936826,158564,322888,251375,101065,789723,304197,398489,878453,556480,69309,61336
Fiji,571,621,1457,923,603,0,1855,1038,300,72,1342,62710,6430,5653,48,2448,212,3356,30,16990,8,35664,6447,76,597,2802,12012,4415,2175,748,86
Finland,88,786,64640,14795,284,0,4186,4021,354,7087,2816,695601,50628,2513,17229,35090,17,1737,3059,356716,80,14615,12630,429,97,12636,48037,70121,30254,2596,71
France,2301,8975,882954,180197,103810,0,31279,21575,50258,34180,49505,4729313,577479,45344,104759,388164,913,47915,16249,5067099,792,324244,273752,6253,99271,217006,607771,839800,357490,24380,754
Gabon,3383,3545,3578,996,3054,25464,991,1911,43020,196,19145,64442,23189,22255,461,4367,1,14826,202,32113,12,13940,8348,688,2845,13750,9013,16123,10477,869,380
Gambia,8200,7947,2632,812,5784,38603,1220,322,22925,53,18036,48140,35453,44246,278,2433,75,23536,261,19405,41,5805,5907,806,5553,5698,8642,14261,7777,1069,567
Georgia,617,1303,40267,8453,244,12,5814,6198,377,582,9292,1018279,28699,25580,2080,9228,158,1786,878,223706,4142,31656,16025,1352,81,23007,34752,62230,48012,6921,249
Germany,1488,10086,1114977,264727,11627,0,17698,24943,28389,43072,24383,10819770,603119,46185,180344,377986,280,66744,5408,7325650,387,621575,616900,3303,8354,211341,1117582,1335653,654268,20982,2446
Ghana,40268,128260,34949,9136,100393,721339,16423,23702,493463,999,319504,794129,448884,535127,4633,41731,491,370749,3421,362921,334,117346,91364,11060,96591,124478,130727,244322,157443,15216,9465
Greece,158,1291,123503,31404,306,0,10846,4084,1009,7160,4587,1453438,99752,7981,1085,13763,238,594,852,902379,105,34135,96773,917,155,56043,127666,95956,42974,3716,1145
Greenland,0,50,153,77,13,0,150,231,85,47,122,3419,346,259,319,1366,2,30,60,3845,0,159,147,26,10,106,829,635,229,89,0
Grenada,30,39,478,118,98,0,212,166,206,25,31,7700,1491,475,84,149,19,61,0,4397,3,1856,1025,17,87,327,524,950,466,68,6
Guam,30,46,587,192,73,0,189,176,154,29,113,9418,763,604,44,796,3,115,0,4101,15,979,936,0,73,590,1194,1023,789,30,0
Guatemala,22395,8966,28261,6874,97605,442,11727,161965,17114,3010,24579,304449,316820,159183,46997,25845,1863,153754,708,248339,2658,104308,89654,5073,91285,50375,51045,185491,111181,5502,341
Guinea,61024,101125,22010,6613,85381,362660,16168,20002,98415,312,142635,363385,465928,359684,1918,17788,39,289563,2488,202921,1879,47968,48969,7638,83345,56337,76316,108468,65990,10740,11236
Guinea-Bissau,5811,13956,1710,611,8301,26594,2461,4143,29623,73,25866,52785,43246,56058,346,3789,8,56776,438,21933,951,7327,7372,1137,7976,13652,10373,18655,10860,1525,1749
Guyana,834,353,1730,570,2316,3420,1925,4718,6691,36,2556,63771,7884,10512,643,7177,34,3448,114,18376,63,13640,5593,108,2036,4437,2990,10282,6511,614,111
Haiti,44582,40890,14787,5793,42414,28833,42062,77719,300695,716,45749,601707,208656,156871,8097,22867,231490,196771,4454,227925,1029,97074,48881,5693,41149,33503,84435,107579,50341,16152,3023
Honduras,10356,4455,19534,6484,7735,205,6784,100835,3735,1721,15393,270940,35096,70799,7617,5826,15648,58414,127,135345,161,18770,50046,1627,7123,29024,68649,120555,57558,1834,822
Hungary,363,2864,102429,22142,797,0,6453,7584,3572,1339,6947,1938728,34060,13123,22920,86210,69,3589,7387,1036094,10,66143,35355,2333,316,42672,155490,254541,165435,6239,125
Iceland,0,55,2925,784,38,0,92,79,48,265,69,21405,2768,210,196,1107,76,81,30,16360,0,607,645,30,33,536,2642,1622,436,60,0
India,2292449,2008944,1707561,756832,3290569,2439244,2110438,1237163,2454374,168928,15820922,52994710,16419404,20911570,527112,5543395,114044,26243547,334967,17762703,74430,4781169,4556172,170119,2356222,5346154,25232974,11804380,6294910,730580,1672179
Indonesia,376966,337724,487566,145752,604467,74664,237902,81342,74981,12980,3197011,13587011,1820769,2238128,16158,223144,191693,2590656,3614,4672674,7489,1888549,964478,27837,560546,1325509,2559457,3204787,2249388,51790,231909
Iran,13881,30820,212745,48549,13985,13013,57888,60299,12695,76171,29658,3867575,319755,782644,6288,133625,75410,51705,1804,1242461,9208,213971,246305,36491,12817,840360,359283,252304,153354,85948,17350
Iraq,18547,29604,63014,14484,10598,86,33077,90383,1451,11566,42775,1655522,175662,454485,1178,43690,169,70537,1041,421656,336980,173840,154225,4017,9766,160444,81596,88429,62335,31626,5952
Ireland,81,622,32298,8110,396,0,1768,1132,510,3978,1300,334089,54142,3418,2545,14753,20,785,320,252493,16,13527,15477,405,187,9708,67264,30682,9614,1422,35
Israel,262,1045,48452,12292,990,0,1526,5255,1186,1640,1423,353386,32778,10404,1862,15596,49,5931,419,331189,8833,63661,54179,243,743,19927,47848,46616,18669,1348,177
Italy,851,6584,929827,179066,13147,0,13429,23540,47691,22032,17572,6614384,291040,39400,9444,141185,1801,13056,5468,5173525,70,568245,346993,4406,8727,234288,797579,827170,432732,13888,2162
Jamaica,919,1063,17776,3421,2871,0,472,13745,13671,133,462,151968,13598,18714,233,1910,101,2130,38,96446,86,53947,20966,111,2658,4761,16370,13363,4894,625,56
Japan,2698,14330,2638908,308327,38101,0,189041,28447,5140,12254,135757,9210437,2659196,32849,21091,861712,27540,67308,43462,10530449,78,251165,966881,12372,27908,327979,1231229,1463405,755502,52365,6876
Jordan,3010,1982,10111,2629,429,0,3318,6502,400,252,1044,201236,23329,49239,270,4807,63,2337,105,82273,1084,35911,26307,1681,367,25603,16228,19434,11054,4429,424
Kazakhstan,3633,8919,55729,16206,3322,0,43544,76206,7614,15442,85570,2232449,139520,77170,59494,149638,211,17170,37574,648639,416,49499,43437,20586,2187,103782,224600,228739,152588,19527,3037
Kenya,106386,140063,51425,11205,173201,303684,16553,96919,2583539,1496,452070,798827,644983,584643,6408,65367,1546,729360,5862,409423,9319,116148,89063,19489,167652,100798,163945,428683,272978,19466,34762
Kiribati,283,455,166,116,576,0,173,128,48,30,2087,8385,1142,1706,11,807,0,1687,16,2910,14,2987,853,52,565,537,1903,1440,732,30,100
Kuwait,126,295,6131,966,23,0,664,1162,77,352,909,72602,9978,5793,172,2420,3,160,57,26502,3853,7012,6620,477,2,13449,4027,5651,3451,746,55
Kyrgyzstan,2013,3249,19434,3521,564,12,12857,12968,3767,2153,19192,517868,52290,52311,12578,19677,600,9442,3722,113709,672,8541,15474,3550,463,27667,72407,66466,55655,4570,1238
Laos,18920,13812,9990,3093,17326,5372,18731,21020,6315,389,110749,309868,197088,154761,2226,13307,377,87415,444,112232,393,34098,40767,1601,16271,36050,76974,66638,30997,3451,3834
Latvia,151,728,23112,5117,303,0,8473,8685,3033,1657,4160,544361,13047,2705,10957,21098,10,155,6580,176973,9,9100,5191,1722,94,16013,15486,30628,12609,6883,183
Lebanon,789,1274,21842,4369,402,0,1838,8275,1906,1860,1710,362107,22009,25063,363,4291,48,2263,90,151517,4927,18508,25459,970,339,11511,28211,21986,13849,2618,4381
Lesotho,4597,5587,4029,950,7255,0,2953,19200,322742,149,73453,105072,58784,49731,808,16070,49,60502,708,50752,151,26695,12162,1276,7057,21479,33797,23737,10825,3124,1037
Liberia,22163,23708,6384,1796,22781,145813,3478,5603,49585,120,39624,105814,85243,92621,688,5642,14,142432,519,43827,20518,13945,14987,1868,21878,12910,14733,38910,24659,2493,3284
Libya,1019,1690,20235,3497,497,0,3293,7862,1352,3106,2100,238179,20293,35285,470,7492,16,3715,126,98466,19696,14673,24380,1708,425,53596,22354,23870,15449,3789,1283
Lithuania,137,1042,32826,6271,190,0,11752,9714,1784,2803,9166,657865,16145,3315,17741,42217,20,301,8876,241986,19,7278,6720,4540,85,21638,31808,51246,25576,4251,73
Luxembourg,10,48,4564,1263,158,0,97,212,131,438,79,41754,3364,278,664,2030,2,310,30,33867,1,1831,2471,36,146,1515,5729,5812,2781,95,0
Madagascar,75125,81655,18593,4612,260158,202088,15133,11761,34991,849,344136,773591,488612,386736,3324,33836,2072,640290,3720,230677,1343,59912,42875,10727,252909,72953,149271,159999,105287,11569,6929
Malawi,39029,107433,19156,4515,113304,404288,14016,9142,1265348,716,274335,371555,380042,393356,2825,28814,953,413051,2442,226599,92,58163,41137,9509,109606,55753,62074,151852,99983,10228,12214
Malaysia,9806,10204,64618,16274,5563,1437,21733,16974,49843,2393,64779,1194056,336632,58843,4559,38809,794,31782,371,570533,123,90231,113850,5519,5275,178875,183160,202459,94730,7393,6003
Maldives,383,84,641,180,301,0,691,182,12,27,766,11463,859,3814,30,392,102,627,0,4030,0,993,1686,0,236,554,3024,1023,660,140,37
Mali,80995,189707,23893,6495,304544,711087,24627,37790,137382,319,174546,423975,387730,747229,2066,19059,124,579172,3140,191446,32775,55390,56761,13283,297954,61404,103596,148239,85878,17049,15178
Malta,16,77,3887,1043,30,0,137,171,74,171,43,39696,4352,474,77,689,1,51,30,23644,3,3133,2328,30,17,674,3866,3188,1188,64,0
Marshall Islands,60,49,67,49,61,0,183,120,56,0,264,3454,666,505,27,341,0,279,0,1125,0,696,345,0,58,311,706,457,262,30,15
Mauritania,18876,10642,6830,1790,13719,26053,1721,4872,1142,105,20346,95870,64681,75578,438,3891,76,85902,389,44019,156,13766,14862,1070,13157,25652,14363,29856,17690,1677,1105
Mauritius,250,324,5838,1221,383,0,1264,949,1273,254,464,94929,8047,5335,2024,3994,31,967,21,30641,0,30978,21994,78,358,5315,13393,12375,8917,1076,34
Mexico,42091,24956,403107,87040,269731,218,93275,554972,147499,13283,113769,3244515,643772,734235,129387,158347,4593,273613,5348,2134942,1333,1328966,1182693,18046,234785,597433,771520,1483060,985079,31896,7297
Micronesia,123,89,198,127,128,0,385,270,454,30,500,8366,1358,758,48,711,53,501,15,2691,0,2292,1146,30,124,702,1790,1017,565,48,18
Moldova,479,1571,25100,4861,171,0,9498,13193,4999,995,10983,746997,32555,9647,12646,22504,69,960,6914,182270,1069,10389,5526,7418,115,20292,46607,127944,101480,5067,280
Monaco,0,0,723,172,0,0,30,0,28,0,38,5363,651,10,0,164,0,0,0,5775,0,108,190,5,0,70,558,497,209,0,0
Mongolia,2286,4336,4504,1246,691,0,5066,8807,180,386,14616,231046,42949,30005,8973,16429,282,7025,7290,120092,156,2817,11467,4616,48,15241,13996,49936,34731,2727,1771
Montenegro,25,64,4422,1230,30,0,385,832,59,32,188,101092,1940,1549,243,3568,1,30,167,40554,3,3750,3176,121,30,2028,2170,4156,1373,392,0
Morocco,38902,29170,102231,24816,9729,0,17133,10907,17552,7718,168232,2551096,252563,400341,2745,76054,1847,153225,3521,543654,171,112749,182577,8898,8554,305148,213543,179607,105855,29598,15900
Mozambique,52371,120772,31971,6976,195650,817948,22265,33861,1541266,1804,602652,666919,546527,734771,5048,46724,2592,514639,4100,266464,5574,93783,58349,16546,188945,114554,94550,156332,66310,18141,17322
Myanmar,63745,139348,128601,35045,93900,157143,155752,29794,268570,5264,866485,3522423,1153570,859666,13690,74663,139932,706020,518,1260516,18252,520531,288985,50299,85808,291092,1253201,744192,530177,12452,17130
Namibia,2864,3979,4486,1149,7408,7383,2130,11562,156336,140,33474,94038,42672,30358,649,6700,264,27497,548,32146,216,18854,8490,847,7214,15198,23323,18726,8575,2372,309
Nauru,23,19,0,0,22,0,56,30,6,0,30,772,183,140,0,73,0,24,0,226,0,161,81,0,22,109,128,84,60,0,0
Nepal,80001,37391,41405,13742,108221,1643,62520,13560,34487,658,301406,913752,502770,519032,5022,88624,15571,355418,6599,406878,14447,54405,85814,17920,95262,66812,822694,273247,188003,5157,26986
Netherlands,440,3732,191095,42419,6074,0,2954,5840,5168,3665,4343,1334457,189718,13431,9705,57082,43,7660,857,1338631,230,103768,76627,530,4422,34449,263005,174262,51593,3627,163
New Zealand,199,682,40940,8236,356,0,1788,1934,671,1411,678,328560,21517,4225,1301,15897,287,1243,181,247515,0,17532,17445,250,252,14739,57809,25560,7172,822,42
Nicaragua,2710,4238,13636,4081,8905,286,5214,12919,6618,255,7083,168887,37149,41187,8106,9281,4855,25264,87,86863,329,34246,57195,822,8855,18379,27119,45063,30148,833,283
Niger,78160,314819,14695,4065,123982,693962,25082,36765,69439,242,173078,329937,742507,525214,2000,18126,488,1021934,2986,125297,3353,37512,44573,12042,121040,61895,74913,134701,71448,17060,10238
Nigeria,525566,1520376,241713,66545,286858,6422063,103723,306846,2216718,4897,1769390,4176488,5917528,5262229,28341,190297,1899,7449328,26363,1618730,78908,541020,464656,107604,270470,487695,641714,1716202,995203,110784,119860
Niue,0,0,12,0,0,0,0,0,0,0,0,263,30,1,0,0,1,0,0,90,0,80,30,0,0,0,45,30,9,0,0
North Korea,16471,14250,88087,26290,632056,81,59067,26585,9620,7973,106488,2241454,253159,210676,9524,88069,2669,18000,3272,978429,3,95880,102116,12984,629389,229844,780804,236074,132430,9595,7705
North Macedonia,92,387,9156,3887,37,0,816,1850,56,282,2521,360839,6094,7102,847,6356,37,1362,173,128961,215,23392,8744,281,14,5615,18904,15477,8020,402,36
Northern Mariana Islands,28,0,90,45,30,0,141,117,23,0,44,2340,281,111,56,265,5,44,0,1593,5,524,450,0,30,300,421,505,367,12,0
Norway,80,878,65284,11827,1402,0,2045,1289,773,7568,1738,490252,68615,2898,7758,18010,140,6724,971,345384,88,19988,17960,571,1182,9041,67974,42226,10864,2059,60
Oman,737,562,3670,1297,1572,315,3524,628,1388,271,821,132123,11765,13415,175,2688,154,1350,284,28365,0,14973,4155,667,113,56856,6578,8187,6390,590,1334
Pakistan,503820,752870,244109,92715,452930,213590,125812,344555,36968,17829,2309703,7745192,2429268,7753349,45501,380916,88169,3187522,14001,3633069,67235,845343,874990,67217,296019,421970,2276479,1523030,1039240,75442,293025
Palau,1,0,45,30,0,0,60,66,18,0,30,1519,507,58,0,87,0,40,0,791,0,453,274,20,0,102,439,151,93,30,0
Palestine,873,1853,6514,1783,421,0,1804,4906,223,107,936,148182,14718,47062,126,2414,10,1447,51,52021,45957,20982,15772,182,385,10090,11655,11551,7711,1283,238
Panama,1347,1564,18634,3363,4563,55,4466,14278,13521,320,6188,118409,17881,13165,694,5252,201,5690,39,79014,51,21135,19391,405,4247,15935,18302,19381,9991,558,110
Papua New Guinea,19822,21081,7989,3979,6284,35997,8916,15262,64513,435,41706,293524,165597,99287,1780,5864,3062,85282,662,102728,280,83158,14072,3358,6194,47315,150913,28270,12946,16201,2680
Paraguay,4264,3527,24340,4019,6825,21,4752,21556,10234,209,7227,213030,38303,37494,4506,8268,166,11878,141,118741,69,42714,30102,441,6707,30291,21518,33720,14728,1597,86
Peru,30220,9205,119043,27585,60855,5267,29588,35797,56394,4034,118995,681021,508053,221763,10689,26655,3624,74514,4077,706096,9611,89295,158881,6631,56273,131011,148708,300421,156657,10742,2001
Philippines,60207,95695,200646,45991,124822,10584,148009,455790,110923,6722,863796,3724705,1387188,878090,30253,101766,46892,407292,4603,1644164,24968,518565,588007,6190,109742,272369,778269,674218,317620,27453,14501
Poland,1019,7276,361248,76105,2984,0,37071,30348,3314,6337,33190,5233134,266728,49477,114388,224860,241,3874,12988,3062100,42,188412,142563,14332,2169,190943,343254,500794,243505,20375,409
Portugal,266,2028,117671,26758,3832,0,4219,7301,23564,1730,10734,1168117,172377,8056,4609,44312,133,3272,1191,807152,11,116415,87915,992,3018,60113,172346,156107,80697,5116,356
Puerto Rico,322,593,38346,7318,2549,0,1565,25511,20337,4600,1233,245108,37557,9193,5422,9228,2400,1876,126,170695,56,82187,41444,600,2307,17447,44738,48552,31575,1113,188
Qatar,198,132,525,268,30,0,752,377,101,99,227,19305,1251,2754,88,2105,0,112,71,11007,6,5367,2001,120,5,12711,1128,3285,2625,638,43
Romania,2361,5396,168815,45803,1841,0,35349,20677,7929,5639,54183,4474916,206799,31980,33121,79917,349,4394,11979,1352953,633,63448,69874,18663,1511,100480,288146,449027,329765,16599,968
Russia,15028,60519,972305,236367,15906,0,423044,1215179,350679,259452,529853,33903781,1113475,237923,1194672,1793855,3086,27964,573771,9079313,39125,369649,325433,298954,8167,1067225,1518195,2398456,1233608,322573,3598
Rwanda,36469,53384,12203,2943,75861,198066,8955,11964,226568,351,209473,278336,259524,209929,2729,20201,458,308316,1687,148334,528779,41385,28155,6139,73568,70689,67750,108696,66153,6722,6988
Saint Kitts and Nevis,38,34,222,86,140,0,77,270,458,0,42,4545,601,287,201,60,5,108,0,2170,0,750,601,0,112,208,264,558,275,69,0
Saint Lucia,51,75,731,220,182,0,282,774,254,22,159,9576,1195,886,180,322,27,164,0,5985,8,2787,1258,9,156,771,1211,1246,723,98,0
Saint Vincent and the Grenadines,31,67,504,135,250,0,227,576,696,0,101,8390,988,788,161,213,25,173,0,4385,4,2447,849,3,226,331,433,933,405,104,0
Samoa,58,93,638,249,131,0,388,338,183,30,455,13383,1816,748,53,722,191,359,30,3773,0,2902,1455,30,126,884,3118,1481,786,60,30
San Marino,0,0,384,53,0,0,0,0,25,0,0,2309,170,30,0,103,0,0,0,2671,0,111,80,0,0,90,229,314,192,0,0
Sao Tome and Principe,264,261,345,106,518,2112,107,256,12,10,771,6589,3704,1971,37,88,0,1598,0,3103,0,332,1144,38,496,518,2147,1941,1402,13,103
Saudi Arabia,8367,6453,35620,12674,3250,832,18507,7707,11106,3436,48535,982797,108663,147215,1903,26827,416,24024,244,239941,1001,65129,137413,5672,3133,403385,93099,119165,92019,16234,2156
Senegal,47596,71048,23104,6362,27936,313661,9480,4163,66251,370,118330,344242,239054,314856,1882,24096,274,296554,1831,158631,2352,50220,53574,6364,26812,44652,64657,103066,56647,7876,3470
Serbia,434,1491,58299,19371,521,0,4993,11085,1762,1610,8575,1871623,38458,23352,12618,61881,110,881,2145,748460,15002,96475,60218,1606,269,33328,116869,123698,47483,3585,246
